               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11605,              0.0277,            0.029523,          1.7787e-05,            0.010204,          9.1149e-06,          9.1149e-07,             0.10675,             0.01754,            0.027245,             0.07037,           0.0032922,           0.0032922
                   1,             0.11248,            0.027927,            0.027871,          0.00013862,             0.03785,          7.6486e-05,          1.3929e-05,                 nan,                 nan,            0.031973,            0.040305,           0.0065599,           0.0065599
                   2,             0.10752,            0.028527,            0.026253,          0.00025447,            0.075581,          0.00014648,          2.1932e-05,                 nan,                 nan,             0.13581,            0.010173,           0.0097617,           0.0097617
                   3,             0.10117,            0.027888,             0.02374,          0.00037775,             0.10038,          0.00023122,          4.8345e-05,                 nan,                 nan,             0.14095,            0.009703,            0.009703,            0.009703
                   4,            0.095767,            0.025443,            0.020619,           0.0035144,             0.19969,           0.0024822,          0.00069814,            0.098536,            0.013788,            0.033845,            0.009703,            0.009703,            0.009703
                   5,            0.088458,            0.023995,            0.019016,           0.0027614,             0.56217,            0.004537,          0.00090064,            0.080048,            0.019008,            0.022145,            0.009604,            0.009604,            0.009604
                   6,            0.080808,            0.024202,            0.016181,          0.00023258,             0.18367,           0.0014184,          0.00029751,             0.10296,            0.060744,             0.10152,            0.009505,            0.009505,            0.009505
                   7,            0.076385,            0.022108,            0.011903,            0.061606,             0.10785,            0.027348,           0.0045745,            0.087008,             0.06274,            0.020028,            0.009406,            0.009406,            0.009406
                   8,            0.071194,            0.021179,             0.01217,             0.60236,            0.040816,            0.027392,           0.0065366,            0.093924,             0.10333,            0.025143,            0.009307,            0.009307,            0.009307
                   9,            0.066946,            0.019884,            0.010035,             0.29772,             0.52432,              0.2512,            0.081447,            0.056982,            0.011131,           0.0083918,            0.009208,            0.009208,            0.009208
